공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
홍대난타극장(구. 뮤직쇼웨딩 전용관),합계,323,1,1,2,14,민간(대학로 외),서울특별시 마포구 양화로16길 29 (서교동)
강서아트리움,합계,215,1,1,3,11,공공(문예회관),서울특별시 강서구 가로공원로 195 (화곡동)
경기대학교 [서울],합계,100,2,2,4,10,민간(대학로 외),서울특별시 서대문구 경기대로9길 24 (충정로2가) 
"대학로 극장가게 (구. 문씨어터, 지구인씨어터)",합계,204,1,0,4,9,민간(대학로),서울특별시 종로구 대학로10길 12 (동숭동)
장로회신학대학교 세계교회협력센터,합계,352,1,1,1,7,민간(대학로 외),서울특별시 광진구 광장로5길 25-1(광장동)
1M SPACE,합계,55,1,1,4,6,민간(대학로 외),서울특별시 서대문구 연세로4길 27 (창천동)
더 리버사이드 호텔,합계,450,2,2,2,4,민간(대학로 외),서울특별시 서초구 강남대로107길 6(잠원동)
세빛섬,합계,1000,2,2,2,3,국립,서울특별시 서초구 올림픽대로 2085-14(반포동)
신촌아트레온,합계,220,1,1,1,2,민간(대학로 외),서울특별시 서대문구 신촌로 129 (창천동)
크리에이터스 홀,합계,100,1,1,1,2,민간(대학로 외),서울특별시 동대문구 안암로 86-1(제기동)
KOCCA콘텐츠문화광장,합계,193,1,1,2,0,공공(기타),서울특별시 동대문구 회기로 66 (청량리동)
대학로 두레홀 3관,합계,220,1,0,2,0,민간(대학로),서울특별시 종로구 대학로8가길 80 (동숭동)
원패스아트홀,합계,200,1,1,1,0,민간(대학로),서울특별시 종로구 대학로12길 15 (동숭동)
코스모스아트홀,합계,220,1,1,3,0,민간(대학로 외),서울특별시 서초구 반포대로 27(서초동)
타이니앨리스,합계,144,1,1,2,0,민간(대학로),서울특별시 종로구 대학로11길 23 (명륜4가)
