id,left,top,right,bottom,유휴공연장_개수,공연시설_개수,문화공간_개수,문화시설_개수,노인여가복지시설_개수,노인의료복지시설_개수,장애인거주복지시설_개수,장애인지역사회재활시설_개수
2573,956035.230199999990873,1961987.158199999947101,956535.230199999990873,1961487.158199999947101,0,0,0,0,0,0,0,0
2574,956035.230199999990873,1961487.158199999947101,956535.230199999990873,1960987.158199999947101,0,0,0,0,0,0,0,0
2575,956035.230199999990873,1960987.158199999947101,956535.230199999990873,1960487.158199999947101,0,1,1,1,0,1,0,0
2566,956035.230199999990873,1965487.158199999947101,956535.230199999990873,1964987.158199999947101,0,0,0,0,0,0,0,0
2567,956035.230199999990873,1964987.158199999947101,956535.230199999990873,1964487.158199999947101,0,0,0,0,0,0,0,0
2584,956035.230199999990873,1956487.158199999947101,956535.230199999990873,1955987.158199999947101,0,0,0,0,0,1,0,0
2585,956035.230199999990873,1955987.158199999947101,956535.230199999990873,1955487.158199999947101,0,0,0,0,0,0,0,0
2586,956035.230199999990873,1955487.158199999947101,956535.230199999990873,1954987.158199999947101,0,0,0,0,0,0,0,0
2587,956035.230199999990873,1954987.158199999947101,956535.230199999990873,1954487.158199999947101,1,1,1,2,0,0,0,0
2588,956035.230199999990873,1954487.158199999947101,956535.230199999990873,1953987.158199999947101,8,14,1,8,0,0,0,0
2589,956035.230199999990873,1953987.158199999947101,956535.230199999990873,1953487.158199999947101,89,101,13,133,0,0,0,1
2590,956035.230199999990873,1953487.158199999947101,956535.230199999990873,1952987.158199999947101,12,17,4,23,1,1,0,0
2591,956035.230199999990873,1952987.158199999947101,956535.230199999990873,1952487.158199999947101,0,1,0,0,0,0,0,0
2576,956035.230199999990873,1960487.158199999947101,956535.230199999990873,1959987.158199999947101,0,0,0,0,0,0,0,0
2577,956035.230199999990873,1959987.158199999947101,956535.230199999990873,1959487.158199999947101,0,0,0,0,0,0,0,0
2578,956035.230199999990873,1959487.158199999947101,956535.230199999990873,1958987.158199999947101,0,0,0,0,0,0,0,0
2579,956035.230199999990873,1958987.158199999947101,956535.230199999990873,1958487.158199999947101,0,0,0,0,0,0,0,0
2580,956035.230199999990873,1958487.158199999947101,956535.230199999990873,1957987.158199999947101,0,0,0,0,0,0,0,0
2581,956035.230199999990873,1957987.158199999947101,956535.230199999990873,1957487.158199999947101,0,0,0,0,0,0,0,0
2582,956035.230199999990873,1957487.158199999947101,956535.230199999990873,1956987.158199999947101,0,0,0,0,0,0,0,0
2583,956035.230199999990873,1956987.158199999947101,956535.230199999990873,1956487.158199999947101,0,0,1,0,1,0,0,0
2600,956035.230199999990873,1948487.158199999947101,956535.230199999990873,1947987.158199999947101,0,0,1,1,1,0,0,0
2601,956035.230199999990873,1947987.158199999947101,956535.230199999990873,1947487.158199999947101,0,0,0,0,0,0,0,0
2602,956035.230199999990873,1947487.158199999947101,956535.230199999990873,1946987.158199999947101,0,0,0,0,0,0,0,0
2603,956035.230199999990873,1946987.158199999947101,956535.230199999990873,1946487.158199999947101,0,0,0,0,0,0,0,0
2604,956035.230199999990873,1946487.158199999947101,956535.230199999990873,1945987.158199999947101,0,0,0,0,0,0,0,0
2605,956035.230199999990873,1945987.158199999947101,956535.230199999990873,1945487.158199999947101,0,0,0,0,0,0,0,0
2606,956035.230199999990873,1945487.158199999947101,956535.230199999990873,1944987.158199999947101,0,1,0,1,0,0,0,0
2607,956035.230199999990873,1944987.158199999947101,956535.230199999990873,1944487.158199999947101,0,0,0,0,0,0,0,0
2592,956035.230199999990873,1952487.158199999947101,956535.230199999990873,1951987.158199999947101,0,1,1,0,0,0,0,0
2593,956035.230199999990873,1951987.158199999947101,956535.230199999990873,1951487.158199999947101,0,0,0,1,0,0,0,0
2594,956035.230199999990873,1951487.158199999947101,956535.230199999990873,1950987.158199999947101,2,3,3,1,0,0,0,0
2595,956035.230199999990873,1950987.158199999947101,956535.230199999990873,1950487.158199999947101,0,1,0,1,0,0,1,0
2596,956035.230199999990873,1950487.158199999947101,956535.230199999990873,1949987.158199999947101,0,1,2,0,0,0,1,0
2597,956035.230199999990873,1949987.158199999947101,956535.230199999990873,1949487.158199999947101,0,0,0,0,0,0,0,0
2598,956035.230199999990873,1949487.158199999947101,956535.230199999990873,1948987.158199999947101,2,2,3,2,0,0,0,0
