주제분류,문화시설명,주소,위도,경도
문화예술회관,개포디지털혁신파크 열림관,서울  강남구 개포동 153-153  개포디지털혁신파크 열림관,37.4882029,127.0629127
기타,누하동 259,서울특별시 종로구 필운대로 27-4,37.57850118,126.968896
도서관,소나무언덕3호도서관,서울특별시 송파구 성내천로 319,37.49233334,127.1566463
기타,해공체육문화센터,서울  강동구 천호동 399-1 ),37.5421167,127.129725
도서관,은평구립도서관,서울특별시 은평구 통일로78가길 13-84(불광동),37.6190451,126.9283998
문화원,프랑스문화원,서울  중구 봉래동1가 10 ),37.5595936,126.9737305
미술관,노화랑,서울특별시 종로구 인사동길 54,37.57486032,126.9840857
기타,구로구민체육센터,서울  구로구 고척동 ),37.5066167,126.8533046
문화예술회관,구로아트밸리예술극장,서울  구로구 구로동 101 ),37.4966724,126.888881
기타,금천구청,서울  금천구 시흥동 ),37.4570784,126.8957012
기타,관악구민종합체육센터,서울  관악구,37.4730143,126.9601883
기타,강남구청,서울  강남구 삼성동 16-1 ),37.517305,127.047502
도서관,개포도서관,서울  강남구 개포동  선릉로4길 30,37.4829604,127.063769
박물관/기념관,은평역사한옥박물관,서울 은평구 연서로50길 8,37.64040095,126.9380555
공연장,CGV 명동,"서울  중구 명동2가  명동길 14, 눈스퀘어 8층",37.5633303,126.9826431
기타,금빛휘트니스센터,서울  금천구 시흥동  금하로 668,37.4528929,126.90425
미술관,로댕갤러리,서울  중구,37.5614574,126.9751773
미술관,아르코미술관,서울특별시 종로구 동숭길 3,37.58050229,127.0032562
문화원,잠실종합운동장,서울  송파구 잠실동 10 ),37.5148022,127.0736261
미술관,소호 아트 갤러리,"서울  종로구 필운동 90-1 , 소호빌리지)",37.5778578,126.9692651
문화원,도봉문화원,서울특별시 도봉구 도봉로 552,37.65419928,127.0388705
공연장,서울애니시네마,서울  중구 예장동 8-145 ),37.5588,126.9877125
공연장,남산예술센터드라마센터(구 동랑예술센터),서울  중구 예장동 8-19 ),37.5586795,126.9882338
공연장,KBS홀,서울특별시 영등포구 여의공원로 13,37.52596989,126.9167168
기타,강동구청,서울특별시 강동구 성내로 25(성내동),37.530126,127.1237708
도서관,강동구립성내도서관,서울  강동구 성내동 385 ),37.5328592,127.1333198
도서관,아리랑정보도서관,서울  성북구 돈암동  아리랑로 82,37.5998987,127.013975
도서관,노원정보도서관,서울  노원구 상계동 686 ),37.661111,127.0650744
도서관,LG상남도서관,서울  종로구 원서동  창덕궁 1길 18,37.5797353,126.98848
박물관/기념관,한상수자수박물관,서울특별시 성북구 성북로16길 4-10,37.59361394,127.0009336
기타,녹사평 용산공원 플랫폼,서울특별시 용산구 녹사평대로 지하 195,37.53483142,126.9870285
기타,서울식물원,서울시 강서구 마곡동로 161,37.56936909,126.8352343
기타,내곡느티나무쉼터,서울특별시 서초구 염곡말길 9,37.46182487,127.0506972
문화예술회관,강동구민회관,서울특별시 강동구 상암로 168,37.5458583,127.1411875
공연장,도봉구민회관,서울  도봉구 창동 303 ),37.6541068,127.0384528
도서관,월계문화정보도서관,서울  노원구 월계동  월계로 319,37.6286376,127.0561463
문화예술회관,성북여성회관,서울  성북구 돈암동 606-258   ),37.59582164,127.0079853
기타,재미랑,서울  중구 남산동2가,37.55825685,126.986215
미술관,코엑스전시장,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스) 06164",37.5103947,127.0611127
미술관,한국공예문화진흥원,서울특별시 종로구 율곡로 53,37.57660036,126.9851275
도서관,서울특별시교육청 용산도서관,서울특별시 용산구 두텁바위로 160,37.5520064,126.9801413
미술관,세컨드에비뉴 갤러리,서울특별시 중구 필동로8길 22,37.55513289,126.9949117
박물관/기념관,국립한글박물관,서울특별시 용산구 서빙고로 139,37.5210688,126.9804863
박물관/기념관,목인박물관 목석원,서울특별시 종로구 창의문로5길 46-1,37.58902191,126.9632892
기타,이문체육문화센터,서울  동대문구 이문동 189  ),37.6022699,127.068762
도서관,대림정보문화도서관,서울  영등포구 대림동   도신로27길 9,37.5042667,126.89605
미술관,애니살롱(재미랑5호),서울  중구 남산동2가 26-5  3층,37.55813432,126.9862829
미술관,유리지공예관,서울특별시 서초구 중앙로 555,37.45775784,127.0123542
도서관,강북솔샘문화정보센터,서울  강북구 미아동 1354-4 ),37.6205185,127.0124524
