,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,구,Latitude,Longitude
503,달빛극장,1,96,달빛극장,96,민간(대학로),2012,서울,종로구,서울특별시 종로구 대학로 133 - 6,37.5829365,127.0011511
509,달식당 (Lunar Pub & Music),1,100,달식당 (Lunar Pub & Music),100,기타(비공연장),0,서울,종로구,서울특별시 종로구 인사동5길 42 (관훈동),37.5724794,126.9838133
510,달콤한음악실,1,50,달콤한음악실,50,민간(대학로 외),0,서울,마포구,"서울특별시 마포구 양화로6길 57-13 (서교동, 동궁빌리지) 202호",37.5492586,126.9177306
518,대교타워 아이레벨홀,1,274,대교타워 아이레벨홀,274,민간(대학로 외),2013,서울,관악구,서울특별시 관악구 보라매로3길 23 (봉천동),37.4911264,126.925594
549,대안공간 루프,1,0,대안공간 루프,0,민간(대학로 외),0,서울,마포구,서울특별시 마포구 와우산로29나길 20 (서교동),37.5544785,126.9278492
550,대원 팝콘D 스퀘어,1,196,대원 콘텐츠 라이브,196,민간(대학로 외),0,서울,용산구,서울특별시 용산구 한강대로23길 55 (한강로3가),37.5255338,126.9647072
568,대학로 A아트홀(구. 신연아트홀),1,162,대학로 A아트홀(구. 신연아트홀),162,민간(대학로),2005,서울,종로구,서울특별시 종로구 동숭길 143 (동숭동),37.5832572,127.0024464
569,"대학로 극장가게 (구. 문씨어터, 지구인씨어터)",1,204,"대학로 극장가게 (구. 문씨어터, 지구인씨어터)",204,민간(대학로),2015,서울,종로구,서울특별시 종로구 대학로10길 12 (동숭동),37.5833494,127.0043501
570,대학로 김대범소극장,1,60,대학로 김대범소극장,60,민간(대학로),2012,서울,종로구,서울특별시 종로구 대학로11길 43 (명륜4가),37.5829551,127.0006673
571,대학로 달달씨어터,1,100,대학로 달달씨어터,100,민간(대학로),2014,서울,종로구,서울특별시 종로구 대명1길 20 (명륜4가),37.5826978,127.0006477
572,대학로 두레홀 3관,1,220,대학로 두레홀 3관,220,민간(대학로),2006,서울,종로구,서울특별시 종로구 대학로8가길 80 (동숭동),37.5824905,127.0032799
573,대학로 드림아트센터,4,980,"1관
2관 더블케이씨어터
3관 나몰라홀
4관","352
210
210
208",민간(대학로),2016,서울,종로구,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5832627,127.0032788
574,대학로 마로니에소극장(플레이더씨어터),1,130,대학로 마로니에소극장(플레이더씨어터),130,민간(대학로),1987,서울,종로구,서울특별시 종로구 동숭길 50 (동숭동),37.5805863,127.0045827
575,대학로 뮤지컬센터,3,1845,"대극장
중극장
공간 피꼴로","1,042
528
275",민간(대학로),2013,서울,종로구,서울특별시 종로구 동숭길 100,37.5828747,127.0044105
576,대학로 스카이씨어터,2,300,"대학로 스카이씨어터 1관
대학로 스카이씨어터 2관(5층 구 JK아트홀)","160
140",민간(대학로),2010,서울,종로구,서울특별시 종로구 대학로8가길 52 (동숭동),37.5830042,127.0026459
577,대학로 위로홀(구. 몬스터홀),1,123,대학로 위로홀(구. 몬스터홀),123,민간(대학로),2014,서울,종로구,서울특별시 종로구 동숭길 74 (동숭동),37.5815416,127.0043041
578,대학로 이음센터,2,120,"이음홀
이음갤러리","80
40",공공(기타),2015,서울,종로구,서울특별시 종로구 대학로 112 (동숭동),37.581408,127.0048867
579,대학로 자유극장 (자유문화발전소),1,233,대학로 자유극장 (자유문화발전소),233,민간(대학로),2005,서울,종로구,서울특별시 종로구 대학로12길 31 (동숭동),37.5796376,127.0024653
580,대학로 판타스틱전용관,1,401,대학로 판타스틱전용관,401,민간(대학로),0,서울,종로구,서울특별시 종로구 대학로 146 (혜화동) 4층,37.5842484,127.0020771
581,대학로단막극장,1,66,대학로단막극장,66,민간(대학로),1996,서울,종로구,서울특별시 종로구 동숭4길 16-3 (동숭동),37.5833103,127.004577
582,대학로스타시티,6,494,"콘텐츠룸(7층 구 마리카1관, SM스타홀)
타이니앨리스 (B1 구 아트홀 마리카2관)
후암스테이지 1관(B2 구 마리카3관, 구 오씨어터)
후암스튜디오 (6층)
TM스테이지
카지노 전용관","209
0
115
170
0
0",민간(대학로),2007,서울,종로구,서울특별시 종로구 대학로11길 23 (명륜4가),37.5828114,127.0013435
583,대학로아트원씨어터,3,773,"1관
2관
3관","365
250
158",민간(대학로),2009,서울,종로구,서울특별시 종로구 대학로12길 83 (동숭동),37.5803053,127.0040585
584,대학로예술극장,3,799,"대극장
소극장
3관 [폐관]","504
132
163",국립,2009,서울,종로구,서울특별시 종로구 대학로10길 17 (동숭동),37.58322,127.0043935
585,대한성공회 서울주교좌성당,1,200,대한성공회 서울주교좌성당,200,민간(대학로 외),1891,서울,중구,서울특별시 중구 세종대로21길 15 (정동),37.5680679,126.971572
587,댕로홀,1,83,댕로홀,83,민간(대학로),2005,서울,종로구,서울특별시 종로구 대학로12길 50 (동숭동),37.5818771,127.0042438
588,더 그란데 파티 앤 뮤직 스튜디오,1,0,더 그란데,0,민간(대학로 외),2020,서울,서초구,서울특별시 서초구 서초대로51길 13 (서초동),37.4951451,127.0140554
589,더 그레잇 컬렉션,1,0,더 그레잇 컬렉션,0,민간(대학로 외),0,서울,서초구,서울특별시 서초구 나루터로 65(잠원동),37.5155048,127.0169148
590,더 리버사이드 호텔,1,450,콘서트홀,450,민간(대학로 외),0,서울,서초구,서울특별시 서초구 강남대로107길 6(잠원동),37.5186187,127.0184667
593,더 서울 라운지,1,0,더 서울 라운지,0,민간(대학로 외),0,서울,용산구,서울특별시 용산구 이태원로19길 6-4(이태원동),37.5402602,126.9958369
595,더 서울라이티움 (갤러리아포레),2,800,"G층 전용관
더페이지 갤러리","800
0",민간(대학로 외),2017,서울,성동구,서울특별시 성동구 서울숲2길 32-14 (성수동1가),37.5457822,127.0424788
596,더 씨어터,1,96,더 씨어터,96,민간(대학로),2011,서울,종로구,서울특별시 종로구 대학로3길 10 (효제동) 고운빌딩,37.5740065,127.0016615
597,더 줌 아트센터,1,128,더 줌 아트센터,128,민간(대학로 외),2013,서울,용산구,서울특별시 용산구 독서당로 111 (한남동),37.5369714,127.0094904
602,더블듀스,1,0,더블듀스,0,민간(대학로 외),0,서울,서대문구,서울특별시 서대문구 연세로7안길 52(창천동),37.5585471,126.9340969
603,더샵갤러리,1,0,갤러리 3층,0,민간(대학로 외),0,서울,강남구,서울특별시 강남구 언주로 832(신사동),37.5245732,127.0337256
604,더쇼 씨어터(THE SHOW THEATER),1,0,더쇼 씨어터(THE SHOW THEATER),0,민간(대학로 외),0,서울,강동구,서울특별시 강동구 성내로10길 12(성내동),37.5284527,127.1245106
