시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,서울특별시 구로구 부일로9길 111-0 온수어르신복지관 3층,Latitude,Longitude,정원(수용인원),현인원,우편번호
성북구립 석관실버복지센터,G4165,(노인) 노인복지관(소규모),노인여가복지시설,자치구,나석원,1129000000,성북구,서울특별시 성북구 화랑로32길 88 (석관동),37.6079,127.0665573,,250,2789
성북구립 정릉실버복지센터,G4230,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김병래,1129000000,성북구,서울특별시 성북구 솔샘로 8 (정릉동),37.6082384,127.0046581,,250,2710
성북50플러스센터,G4573,(노인) 노인교실,노인여가복지시설,자치구,박익현,1129000000,성북구,서울특별시 성북구 지봉로24길 26 (보문동5가),37.5838592,127.0192479,,1774,2872
서초구립느티나무쉼터,G4645,(노인) 노인복지관,노인여가복지시설,자치구,백혁,1165000000,서초구,"서울특별시 서초구 염곡말길 9 (염곡동, 느티나무쉼터)",37.4617774,127.050717,,,6793
성수1가2동노인복지센터,G4813,(노인) 노인복지관,노인여가복지시설,자치구,박필선,1120000000,성동구,"서울특별시 성동구 왕십리로5길 6층 (성수동1가, 성수1가2동 공공복합청사)",37.5462824,127.0443475,0,0,4768
성북구립 삼선실버복지센터,G5082,(노인) 노인복지관(소규모),노인여가복지시설,자치구,나은미,1129000000,성북구,서울특별시 성북구 삼선교로18길 41 (삼선동5가),37.5891609,127.014086,,150,2862
상도은빛어르신복지관,G5219,(노인) 노인복지관(소규모),노인여가복지시설,자치구,최재경,1159000000,동작구,서울특별시 동작구 매봉로 36 (상도1동),37.5064873,126.9513177,,,6912
강남70플러스라운지,G5500,(노인) 노인교실,노인여가복지시설,자치구,김영현,1168000000,강남구,서울특별시 강남구 도곡동 남부순환로378길 20,37.4849877,127.0461185,,,6301
서서울어르신복지관,G5617,(노인) 노인복지관,노인여가복지시설,자치구,장은경,1147000000,양천구,서울특별시 양천구 가로공원로60가길16 (신월동),37.5342108,126.8266206,2500,500,7911
금천어르신복지센터,G6756,(노인) 노인교실,노인여가복지시설,자치구,김미성,1154500000,금천구,서울특별시 금천구 범안로17길 22 (독산동),37.4674866,126.8944388,250,,8585
서초구립방배노인종합복지관,Z0629,(노인) 노인복지관,노인여가복지시설,자치구,이창열,1165000000,서초구,서울특별시 서초구 방배천로 48,37.480803,126.9828123,1000,1711,6677
