공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소,Latitude,Longitude
광운대학교 동해문화예술관,합계,2432,8,8,13,11698,민간(대학로 외),서울특별시 노원구 광운로 20(월계동),37.6197029,127.0596708
대학로 스카이씨어터,대학로 스카이씨어터 2관(5층 구 JK아트홀),140,6,6,251,6452,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동),37.5830042,127.0026459
대학로 스카이씨어터,대학로 스카이씨어터 1관,160,1,0,144,4643,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동),37.5830042,127.0026459
대학로 스카이씨어터,합계,300,7,6,395,11095,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동),37.5830042,127.0026459
서울문화재단 대학로극장 쿼드(예술청),프로젝트룸(5층),50,1,1,4,10,공공(문예회관),서울특별시 종로구 동숭길 122(동숭동),37.5836681,127.0036988
로운아뜨리움(로운아트홀),로운아트홀,619,5,5,32,10699,민간(대학로 외),서울특별시 양천구 목동서로 225 (목동),37.5270892,126.8706189
로운아뜨리움(로운아트홀),합계,981,5,5,32,10699,민간(대학로 외),서울특별시 양천구 목동서로 225 (목동),37.5270892,126.8706189
서강대 메리홀,소극장,100,8,8,42,1809,민간(대학로 외),서울특별시 마포구 백범로 35 서강대학교,37.5512304,126.9392743
초록씨어터,합계,160,2,1,393,10578,민간(대학로),서울특별시 종로구 대학로 128(동숭동),37.5813334,127.0043158
송파브이아트홀,합계,101,3,1,472,9988,민간(대학로 외),서울특별시 송파구 오금로 513 (거여동),37.4820017,127.1458016
우란2경,우란2경,120,4,4,89,9684,민간(대학로 외),서울특별시 성동구 연무장7길 11 (성수동2가),37.5438054,127.0544306
우란2경,합계,120,4,4,89,9684,민간(대학로 외),서울특별시 성동구 연무장7길 11 (성수동2가),37.5438054,127.0544306
업스테이지(UP Stage),합계,153,3,1,576,9508,민간(대학로),서울특별시 종로구 동숭길 41 (동숭동),37.5801091,127.0042689
마루아트홀,합계,118,1,0,363,9293,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동),37.5822932,127.0025237
한국콘텐츠진흥원 CKL스테이지,합계,190,14,14,127,8747,국립,서울특별시 중구 청계천로 40,37.5704461,127.0087332
도봉구민회관,대강당(하모니홀),552,18,18,65,8448,공공(문예회관),서울특별시 도봉구 도봉로 552 (창동),37.6541023,127.0386268
도봉구민회관,합계,742,18,18,65,8448,공공(문예회관),서울특별시 도봉구 도봉로 552 (창동),37.6541023,127.0386268
"아루또소극장(구. 소담소극장, 구. 코메디컬센터)",합계,97,1,0,452,8337,민간(대학로),서울특별시 종로구 대학로8가길 48 (동숭동),37.5829596,127.0024201
노원어린이극장(구.노원어울림극장),합계,282,14,14,75,7719,공공(기타),서울특별시 노원구 노해로 502 (상계동),37.6544503,127.0636915
노원문화예술회관,대공연장,608,17,17,19,6581,공공(문예회관),서울특별시 노원구 중계로 181 (중계동),37.6501606,127.0799904
노원문화예술회관,소공연장,292,5,5,5,1028,공공(문예회관),서울특별시 노원구 중계로 181 (중계동),37.6501606,127.0799904
지즐소극장,합계,84,1,0,464,7562,민간(대학로),서울특별시 종로구 성균관로4길 42 (명륜2가),37.5861394,126.9987258
연세대학교 대강당,합계,1641,2,2,5,7442,민간(대학로 외),서울특별시 서대문구 연세로 50 (신촌동),37.5646993,126.9394972
현대카드 언더스테이지,Vinyl ＆ Plastic(뮤직라이브러리),25,6,6,8,1498,민간(대학로 외),서울특별시 용산구 이태원로 246 (한남동),37.5366281,127.0006807
미마지아트센터,눈빛극장,282,6,6,77,4170,민간(대학로),서울특별시 종로구 혜화로 17 (명륜1가),37.5871032,126.9997925
관악아트홀(구. 관악문화관),합계,698,12,12,26,7046,공공(문예회관),서울특별시 관악구 신림로3길 35 (신림동),37.4675139,126.9448053
성신여자대학교 운정그린캠퍼스 대강당,합계,738,10,9,17,6989,민간(대학로 외),서울특별시 강북구 도봉로76가길 55 (미아동),37.6319498,127.027268
북아현아트홀,합계,206,7,7,85,6655,공공(기타),서울특별시 서대문구 북아현로 51(북아현동),37.5618573,126.9554332
이화여고 100주년 기념관,합계,433,2,2,36,6555,민간(대학로 외),서울특별시 중구 정동길 26 (정동),37.5658654,126.9713247
레미어린이극장 [금천],합계,194,12,11,225,6541,민간(대학로 외),서울특별시 금천구 두산로 71 (독산동),37.4705934,126.8957132
더 줌 아트센터,합계,128,6,6,67,6359,민간(대학로 외),서울특별시 용산구 독서당로 111 (한남동),37.5369714,127.0094904
구로구민회관,합계,531,13,13,37,6349,공공(문예회관),서울특별시 구로구 가마산로25길 21 (구로동),37.4969468,126.8895561
