,공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
1498,복합공간 에무,야외 뒷뜰(은하수 공연장),50,13,13,13,241,민간(대학로 외),서울특별시 종로구 경희궁1가길 7 (신문로2가)
1499,복합공간 에무,합계,150,32,32,32,654,민간(대학로 외),서울특별시 종로구 경희궁1가길 7 (신문로2가)
1505,극장 봄 (봄소극장),합계,55,11,10,69,631,민간(대학로),서울특별시 성북구 삼선교로 14 (삼선동1가)
1508,놀터예술공방,합계,50,13,13,66,618,민간(대학로),서울특별시 성북구 성북로2길 21 - 0 태고종선부암
1511,스튜디오SK,합계,80,8,8,57,614,민간(대학로),서울특별시 종로구 성균관로 15-10 (명륜3가)
1512,미아리고개예술극장(구 미아리예술극장),합계,90,5,5,28,613,공공(기타),서울특별시 성북구 동소문로 177 (돈암동)
1513,CTS아트홀,합계,404,5,5,5,612,민간(대학로 외),서울특별시 동작구 노량진로 100 (노량진동)
1514,설렘아트홀,합계,50,5,5,22,612,민간(대학로 외),서울특별시 광진구 능동로19길 23(화양동)
1521,얼라이브홀(구. 크랙홀),합계,130,11,11,12,588,민간(대학로 외),서울특별시 마포구 독막로7길 20 (서교동) 지하1층
1522,"SCC홀(구. DS홀, 서울바로크챔버홀)",합계,200,9,9,9,585,민간(대학로 외),서울특별시 서초구 남부순환로325길 9
1523,공상온도,합계,80,9,9,13,574,기타(비공연장),서울특별시 마포구 동교로23길 40 (동교동) 
1526,뜻밖의 극장(구. 해우소소극장),합계,65,14,14,78,571,민간(대학로 외),서울특별시 성북구 동소문로20나길 27 (동선동1가)
1527,섬유센터,합계,600,2,2,4,571,민간(대학로 외),서울특별시 강남구 테헤란로 518 (대치동) 
1528,플랫폼-엘 컨템포러리 아트센터,합계,172,6,6,14,568,민간(대학로 외),서울특별시 강남구 언주로133길 11 (논현동)
1533,성북정보도서관,합계,80,5,5,27,565,공공(기타),서울특별시 성북구 화랑로18자길 13 (상월곡동)
1540,플랫폼 창동 61,합계,150,2,2,3,546,공공(기타),서울특별시 도봉구 마들로11길 74 (창동)
1541,월드케이팝센터,합계,0,1,1,1,544,민간(대학로 외),서울특별시 중구 장충단로 72(장충동2가)
1546,서울생활문화센터 서교,합계,162,3,3,6,529,민간(대학로 외),서울특별시 마포구 양화로 72(서교동)
1551,강남구민회관,합계,516,2,2,3,520,공공(기타),서울특별시 강남구 삼성로 154 (대치동)
1552,성균소극장,성균소극장,100,12,11,57,520,민간(대학로),서울특별시 종로구 성균관로 12-3 (명륜2가)
1553,성균소극장,스튜디오SK,80,0,0,0,0,민간(대학로),서울특별시 종로구 성균관로 12-3 (명륜2가)
1554,성균소극장,합계,180,12,11,57,520,민간(대학로),서울특별시 종로구 성균관로 12-3 (명륜2가)
1556,창작플랫폼 경험과 상상,합계,50,7,7,35,518,민간(대학로 외),서울특별시 영등포구 선유동2로 46 (당산동5가)
1557,KOTE(코트),합계,0,5,5,5,515,민간(대학로 외),서울특별시 종로구 인사동길 7 (인사동)
1560,남대문교회,합계,400,1,1,1,500,민간(대학로 외),서울특별시 중구 퇴계로 6 (남대문로5가)
1561,연동교회,합계,0,1,1,1,500,기타(비공연장),서울특별시 종로구 김상옥로 37 (연지동)
1565,남산예술센터 드라마센터,합계,0,1,1,3,494,민간(대학로 외),서울특별시 중구 소파로 138 (예장동)
1567,윤당아트홀,1관,260,3,3,5,492,민간(대학로 외),서울특별시 강남구 언주로 844 (신사동)
1568,윤당아트홀,2관,150,0,0,0,0,민간(대학로 외),서울특별시 강남구 언주로 844 (신사동)
1569,윤당아트홀,합계,410,3,3,5,492,민간(대학로 외),서울특별시 강남구 언주로 844 (신사동)
1570,SILICA GEL VINYL POP-UP,합계,100,1,1,2,490,민간(대학로 외),서울특별시 마포구 와우산로33길 27 (서교동)
1574,서완소극장(구. 씨어터고리),합계,107,4,4,27,483,민간(대학로),서울특별시 종로구 창경궁로34길 18-12
1582,문엔트리,합계,0,8,5,362,454,기타(비공연장),서울특별시 서초구 방배천로18길 10(방배동)
1588,G스페이스홀(지스페이스홀),합계,55,8,8,11,432,민간(대학로 외),서울특별시 마포구 포은로 14 (합정동)
1591,동광교회,합계,0,1,1,1,430,기타(비공연장),서울특별시 동작구 성대로1길 26(상도동)
1594,헤르만아트홀,합계,120,11,11,31,423,민간(대학로 외),"서울특별시 성동구 상원6나길 24(성수동1가, 청호 서울숲 뜨레피움 오피스텔)"
1597,국제아트홀,합계,170,3,3,3,410,민간(대학로 외),서울특별시 강남구 압구정로 162 (신사동)
1598,중앙대학교 아트센터,대극장(중앙아트홀),491,1,1,1,409,민간(대학로 외),서울특별시 동작구 흑석로 84 (흑석동)
1599,중앙대학교 아트센터,소극장(100주년기념관 대신홀),104,0,0,0,0,민간(대학로 외),서울특별시 동작구 흑석로 84 (흑석동)
1600,중앙대학교 아트센터,합계,595,1,1,1,409,민간(대학로 외),서울특별시 동작구 흑석로 84 (흑석동)
1609,청년극장 (구. 대학로 아트홀 1관 구. 서울문화예술대학교 대학로 극장),합계,114,2,1,36,385,민간(대학로),서울특별시 종로구 동숭길 47 (동숭동)
1610,벨로주 [망원],합계,65,7,7,8,380,민간(대학로 외),서울특별시 마포구 포은로 117 (망원동) 
1623,피움스튜디오,합계,40,6,6,26,354,민간(대학로 외),서울특별시 영등포구 영등포로34길 3 (영등포동4가)
1629,TINC This is Not a Church(구. 명성교회),합계,0,4,4,16,331,민간(대학로 외),서울특별시 성북구 동소문로10길 34-16 (삼선동4가)
1630,주말극장,합계,0,5,5,22,331,민간(대학로 외),서울특별시 영등포구 도림로126길 1(문래동3가)
1634,숲세권 라이브,합계,0,11,11,11,324,민간(대학로 외),서울특별시 영등포구 선유로54길 11(당산동6가)
1635,문화비축기지,2번 탱크 실내공연장,300,1,1,3,208,공공(기타),서울특별시 마포구 증산로 87 (성산동)
1636,문화비축기지,4번 탱크,250,1,0,3,64,공공(기타),서울특별시 마포구 증산로 87 (성산동)
1637,문화비축기지,T1 1번 탱크 파빌리온,200,2,2,3,36,공공(기타),서울특별시 마포구 증산로 87 (성산동)
1638,문화비축기지,T2 야외무대,400,1,1,1,15,공공(기타),서울특별시 마포구 증산로 87 (성산동)
1639,문화비축기지,문화마당,10000,0,0,0,0,공공(기타),서울특별시 마포구 증산로 87 (성산동)
1640,문화비축기지,원형회의실,30,0,0,0,0,공공(기타),서울특별시 마포구 증산로 87 (성산동)
1641,문화비축기지,합계,11180,5,4,10,323,공공(기타),서울특별시 마포구 증산로 87 (성산동)
1642,엠팟홀 (구. 삼익아트홀),엠팟홀 (구. 삼익아트홀),150,4,4,5,201,민간(대학로 외),서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층
1643,엠팟홀 (구. 삼익아트홀),옥상정원 (8층),0,2,2,2,121,민간(대학로 외),서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층
1644,엠팟홀 (구. 삼익아트홀),합계,150,6,6,7,322,민간(대학로 외),서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층
1645,을지공간,합계,45,4,4,29,322,민간(대학로 외),서울특별시 중구 창경궁로5길 5 (을지로4가)
1651,김희수아트센터,합계,198,5,5,6,308,민간(대학로 외),서울특별시 동대문구 홍릉로 118 (청량리동)
1652,연남스페이스,합계,0,3,3,5,307,민간(대학로 외),서울특별시 마포구 성미산로22길 16(연남동)
1660,동자아트홀,합계,157,2,2,2,298,민간(대학로 외),"서울특별시 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)"
1670,씨어터 송,합계,100,5,5,25,285,민간(대학로 외),서울특별시 서초구 법원로3길 22 (서초동)
1673,문래예술공장,박스씨어터,100,4,4,24,276,공공(기타),서울특별시 영등포구 경인로88길 5-4 (문래동1가) 문래예술공장
1674,문래예술공장,갤러리M30,80,0,0,0,0,공공(기타),서울특별시 영등포구 경인로88길 5-4 (문래동1가) 문래예술공장
1675,문래예술공장,합계,180,4,4,24,276,공공(기타),서울특별시 영등포구 경인로88길 5-4 (문래동1가) 문래예술공장
1678,베짱이홀,합계,200,10,10,10,275,민간(대학로 외),서울특별시 마포구 독막로15길 3-12 (상수동)
1679,연세대학교 무악극장,합계,0,2,2,8,273,민간(대학로 외),서울특별시 서대문구 연세로 50-1(신촌동)
1680,블라인드아트홀,합계,70,1,1,5,266,민간(대학로 외),서울특별시 광진구 아차산로 331-1 (자양동)
1686,서울대학교,특설무대,0,1,1,1,258,국립,서울특별시 관악구 관악로 1 (신림동)
1687,서울대학교,대운동장,0,0,0,0,0,국립,서울특별시 관악구 관악로 1 (신림동)
1688,서울대학교,합계,0,1,1,1,258,국립,서울특별시 관악구 관악로 1 (신림동)
1689,가온스테이지,합계,60,9,9,10,255,민간(대학로 외),서울특별시 마포구 잔다리로 59(서교동)
1695,공간 만차,합계,0,2,2,9,251,민간(대학로 외),서울특별시 용산구 이태원로54길 5(한남동)
1698,벨지움 재즈카페,합계,0,4,4,8,247,기타(비공연장),서울특별시 강남구 테헤란로83길 20(삼성동)
1701,전통공연창작마루 광무대,합계,0,3,3,7,240,민간(대학로 외),서울특별시 종로구 종로 272(종로6가)
1702,다락방극장,합계,0,1,1,86,238,민간(대학로 외),서울특별시 중구 을지로 170(을지로4가)
1705,옵신 스페이스(구. 서촌공간 서로),합계,70,2,2,15,231,민간(대학로 외),서울특별시 종로구 필운대로7길 12 (옥인동)
1707,앤트러사이트 [한남],합계,0,1,1,2,230,기타(비공연장),서울특별시 용산구 이태원로 240 (한남동)
1709,언제라도 여행,합계,0,4,4,12,225,기타(비공연장),서울특별시 마포구 잔다리로 65(서교동)
1712,모차르트홀,합계,201,6,6,6,222,민간(대학로 외),서울특별시 서초구 명달로 104 (서초동)
1717,롯데월드,합계,0,1,1,14,215,기타(비공연장),서울특별시 송파구 올림픽로 240 (잠실동)
1718,스카이아트홀,합계,980,3,3,5,214,민간(대학로 외),서울특별시 강서구 화곡로63길 65(등촌동)
1721,문화공간 아이원,합계,80,36,36,36,212,민간(대학로 외),서울특별시 금천구 시흥대로 167 (시흥동)
1723,성북마을극장,합계,80,2,2,11,212,민간(대학로),서울특별시 성북구 동소문로20다길 10 (동선동1가)
1725,도곡 율하우스,합계,0,22,22,22,209,민간(대학로 외),서울특별시 강남구 논현로26길 46-6 (도곡동)
1728,소셜베뉴 라움,체임버홀,384,3,2,15,103,민간(대학로 외),서울특별시 강남구 언주로 564 (역삼동) 라움아트센터
