,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,주소
1343,앤트러사이트 [한남],1.0,0.0,앤트러사이트 [한남],0,기타(비공연장),0.0,서울,용산구,서울특별시 용산구 이태원로 240 (한남동)
1344,앤트러사이트 [합정],1.0,0.0,앤트러사이트 [합정],0,기타(비공연장),0.0,서울,마포구,서울특별시 마포구 토정로5길 10 (합정동)
1345,야기스튜디오,1.0,0.0,야기스튜디오,0,민간(대학로 외),0.0,서울,강남구,서울특별시 강남구 헌릉로569길 37(세곡동)
1346,야마하아티스트서비스서울,1.0,100.0,야마하아티스트서비스서울,100,민간(대학로 외),2013.0,서울,서초구,서울특별시 서초구 남부순환로 2385 (서초동)
1356,양천문화회관,3.0,1320.0,"대극장
해누리홀
해바라기홀","684
406
230",공공(문예회관),1998.0,서울,양천구,서울특별시 양천구 목동서로 367 (신정동)
1358,얘기아트씨어터,1.0,80.0,얘기아트씨어터,80,민간(대학로 외),2011.0,서울,마포구,서울특별시 마포구 고산길 30 (노고산동)
1362,언더스탠드에비뉴(신한두드림스페이스),1.0,120.0,아트 스탠드,120,민간(대학로 외),2017.0,서울,성동구,서울특별시 성동구 왕십리로 63 (성수동1가)
1363,언제라도 여행,1.0,0.0,언제라도 여행,0,기타(비공연장),0.0,서울,마포구,서울특별시 마포구 잔다리로 65(서교동)
1364,언플러그드 [신촌],1.0,0.0,언플러그드 [신촌],0,민간(대학로 외),0.0,서울,서대문구,서울특별시 서대문구 연세로 13(창천동)
1365,얼라이브홀(구. 크랙홀),1.0,130.0,얼라이브홀(구. 크랙홀),130,민간(대학로 외),2013.0,서울,마포구,서울특별시 마포구 독막로7길 20 (서교동) 지하1층
1366,업스테이지(UP Stage),1.0,153.0,업스테이지(UP Stage),153,민간(대학로),0.0,서울,종로구,서울특별시 종로구 동숭길 41 (동숭동) 
1370,에스파스클래식,1.0,0.0,에스파스클래식,0,민간(대학로 외),0.0,서울,서대문구,서울특별시 서대문구 충정로7길 31(충정로2가)
1371,에이치씨어터,1.0,180.0,익스트림씨어터 2관,180,민간(대학로),2012.0,서울,종로구,서울특별시 종로구 이화장길 54 (이화동)
1373,에일리하우스,1.0,0.0,에일리하우스,0,기타(비공연장),0.0,서울,강남구,서울특별시 강남구 압구정로11길 37-53 (압구정동)
1376,에피소드 서초 393,1.0,0.0,에피소드 서초 393,0,기타(비공연장),0.0,서울,서초구,서울특별시 서초구 강남대로49길 10(서초동)
1377,에피소드 성수 101,1.0,0.0,에피소드 성수 101,0,기타(비공연장),0.0,서울,성동구,서울특별시 성동구 뚝섬로 341 (성수동1가)
1378,에피소드 신촌 369,1.0,0.0,에피소드 신촌 369,0,기타(비공연장),0.0,서울,마포구,서울특별시 마포구 신촌로16길 29(노고산동)
1379,엑스스페이스,1.0,50.0,엑스스페이스,50,민간(대학로 외),2016.0,서울,강남구,서울특별시 강남구 논현로117길 17 (논현동)
1382,엔써뮤직,1.0,10.0,엔써뮤직,10,민간(대학로 외),2020.0,서울,마포구,서울특별시 마포구 독막로6길 5(합정동)
1384,엔터 스튜디오,1.0,0.0,엔터 스튜디오,0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 독막로8길 30(합정동)
