분류명,공간명(한글),공간명(영어),개관년도,지역,우편번호,주소,Latitude,Longitude
공연장,토탈미술관,Total Museum of Contemporary Art,1992,종로구  ,       ,서울시 종로구 평창동 465-16,37.612099,126.9757337
미술관,토탈미술관,,    ,종로구  ,110-848,서울시 종로구 평창32길 8,37.612099,126.9757337
공연장,틴틴홀,TintinHALL,2013,종로구  ,       ,서울시 종로구 동숭동 1-97,37.5816082,127.0035317
복지관,평화종합사회복지관,,    ,노원구  ,139-787,서울시 노원구 노원로 331,37.6465083,127.0690103
공연연습실(대학로),포니정홀,,    ,강남구  ,135-881,서울시 강남구?영동대로 520,37.5137373,127.0610794
미술관,포스코미술관,,    ,강남구  ,135-777,서울시 강남구 테헤란로 440,37.50579,127.0561533
공연연습실(대학로),포스트극장,,    ,마포구  ,121-880,서울시 마포구 와우산로 148,37.5541301,126.9296749
전시시설,포트폴리오,PORTFOLIO,2016,종로구  ,3061,서울시 종로구 율곡로3길 72,37.578815,126.9822495
전시시설,표갤러리,,    ,용산구  ,140-856,서울시 용산구 소월로 314,37.541423,126.9961245
공연장,푸른달극장,puleundal theater,2013,종로구  ,       ,서울시 종로구 혜화동 194번지 동선빌딩 지하 푸른달 극장,37.5878109,127.0017424
공연연습실(대학로),푸른달극장,,    ,종로구  ,110-530,서울시 종로구 대학로14길 18-2,37.5841543,127.0026883
공연장,풍기문란센터,Theater Poonggimulan Center,2007,종로구  ,       ,서울시 종로구 명륜2가 160-2,37.5844234,126.9988169
복지관,풍납종합사회복지관,,    ,송파구  ,138-876,서울시 송파구 강동대로 3길 5,37.5277442,127.1138908
공연연습실(대학로),프라임아트홀,,    ,구로구  ,152-725,서울시 구로구 새말로 97,37.5069735,126.8903193
공연장,프란치스코 교육회관,Franciscan Education Center,    ,중구   ,       ,서울시 중구 정동 17번지,37.5671974,126.9706646
공연장,플래툰 쿤스트할레,PLATOON KUNSTHALLE,2009,강남구  ,       ,서울시 강남구 논현동 97-22,37.5205498,127.0348965
전시시설,플랫폼엘 컨템포러리 아트센터,Platform-L Contemporary Art Center,2016,강남구  ,6053,서울시 강남구 언주로133길 11 (논현동),37.5113471,127.0288101
전시시설,플레이스막,,    ,마포구  ,121-865,서울시 마포구 동교로46길 36,37.5621296,126.9265778
공연연습실(대학로),피카소소극장,,    ,종로구  ,110-524,서울시 종로구 대명1길 20,37.5826978,127.0006477
전시시설,피케이엠 갤러리,,    ,종로구  ,110-230,서울시 종로구 삼청로 7길 32,37.5840664,126.9803051
전시시설,피케이엠 트리니티갤러리,,    ,강남구  ,135-954,서울시 강남구 압구정로 416,37.5269156,127.0424194
전시시설,픽스굿,PICKSGOOD,2022,종로구  ,3006,서울시 종로구 평창11길 29 (평창동),37.6081286,126.9656537
전시시설,필립강갤러리,,    ,강남구  ,135-517,서울시 강남구 압구정로 80길 34,37.5247518,127.0439584
전시시설,하나아트갤러리,,    ,종로구  ,110-300,서울시 종로구 인사동10길 2,37.5739186,126.985376
도서관,하늘도서관,,    ,구로구  ,152-851,서울시 구로구 구로동로13길 68,37.4874419,126.8810523
공연장,하늘땅극장,,    ,종로구  ,       ,서울시 종로구 동숭동 1-141,37.5800339,127.0039507
공연장,하모니아트홀,Harmony Art Hall,2012,종로구  ,       ,서울시 종로구 동숭동 1-92 태원빌딩 3층,37.5810306,127.00396
청소년수련관,하이서울유스호스텔,,    ,영등포구 ,150-037,서울시 영등포구 영신로 200,37.5251135,126.9030894
전시시설,학고재아트센터,,    ,종로구  ,110-200,서울시 종로구 삼청로 50,37.5803283,126.9802958
도서관,학마을 다사랑센터,,    ,도봉구  ,132-830,서울시 도봉구 시루봉로 128,37.6621708,127.0278612
공연장,학전그린,Hakchon Green,1996,종로구  ,       ,서울시 종로구 동숭동 1-8번지 무애빌딩,37.5838922,127.0030715
공연장,학전블루,Hakchon Blue,1991,종로구  ,       ,서울시 종로구 동숭동 1-79,37.5820849,127.0037287
공연연습실(대학로),학전블루 ,,    ,종로구  ,110-809,서울시 종로구 대학로12길 46,37.5820849,127.0037287
미술관,한가람디자인미술관,,    ,서초구  ,137-718,서울시 서초구 남부순환로 2406,37.4810859,127.0152453
미술관,한가람미술관,,    ,서초구  ,137-718,서울시 서초구 남부순환로 2406,37.4810859,127.0152453
공연연습실(대학로),한국문화의집 KOUS,,    ,강남구  ,135-846,서울시 강남구 테헤란로 92길 12-9,37.506839,127.0604679
공연연습실(대학로),한국문화재보호재단,,    ,강남구  ,135-090,서울시 강남구 봉은사로 406,37.5102289,127.0446484
박물관,한국미술박물관,,    ,종로구  ,110-280,서울시 종로구 창덕궁길 73,37.5816512,126.9878544
전시시설,한국미술센터,,    ,종로구  ,110-778,서울시 종로구 인사동5길 29,37.572007,126.9848565
공연연습실(대학로),한국예술종합학교,,    ,성북구  ,136-716,서울시 성북구 화랑로 32길 146-37,37.6037986,127.0558626
공연연습실(대학로),한국의집민속극장,,    ,중구   ,100-272,서울시 중구  퇴계로 36길 10,37.5601392,126.9946052
공연연습실(대학로),한국창극원 ,,    ,종로구  ,110-360,서울시 종로구 돈화문로 94,37.5768269,126.990491
도서관,한국학생도서관,,    ,중구   ,100-380,서울시 중구 동호로 27길 30,37.5607021,127.0021716
미술관,한미사진미술관,,    ,송파구  ,138-724,서울시 송파구 위례성대로 14,37.5165622,127.1139344
복지관,한빛종합사회복지관,,    ,양천구  ,158-840,서울시 양천구 신월로 11길 16,37.5190636,126.8402308
공연장,한성아트홀 1관(구.인켈아트홀),Inkel Arthall 1,1990,종로구  ,       ,서울시 종로구 명륜2가 41-4,37.5836983,127.0000205
공연장,한성아트홀 2관(구.인켈아트홀),Inkel Arthall 2,1993,종로구  ,       ,서울시 종로구 명륜2가 41-4,37.5836983,127.0000205
공연연습실(대학로),한성아트홀2관,,    ,종로구  ,110-522,서울시 종로구 창경궁로 254,37.5836983,127.0000205
공연장,한양레퍼토리씨어터,Han Yang Repertory Theater,2003,종로구  ,       ,서울시 종로구 혜화동 185번지 중원빌딩 B1,37.5839645,127.002167
공연장,한얼소극장,Haneol Theater,2002,종로구  ,       ,서울시 종로구 혜화동 70-1번지,37.5867512,127.0016484
공연연습실(대학로),한얼소극장,,    ,종로구  ,110-530,서울시 종로구 창경궁로 35길 17,37.5867512,127.0016484
미술관,한원미술관,,    ,서초구  ,137-070,서울시 서초구 남부순환로 2423,37.4818294,127.015222
공연장,한전아트센터,Kepco Art Center,2001,서초구  ,       ,서울시 서초구 쑥고개길 34,37.4790469,126.9533981
공연연습실(대학로),한전아트센터,,    ,서초구  ,137-862,서울시 서초구 효령로 72길 60,37.4856988,127.0279981
공연연습실(대학로),한평극장 ,,    ,종로구  ,110-070,서울시 종로구 사직로8길 42,37.5737827,126.9731648
공연연습실(대학로),해오름 소극장,,    ,종로구  ,110-522,서울시 종로구 창경궁로 259,37.5845541,127.000041
공연장,해오름소극장,Haeorm Theater,2007,종로구  ,       ,서울시 종로구 명륜2가 13번지,37.5845541,127.000041
공연연습실(대학로),해오름소극장,,    ,종로구  ,110-522,서울시 종로구 창경궁로 259,37.5845541,127.000041
공연장,해피씨어터,Happy Theater,2008,종로구  ,       ,서울시 종로구 동숭동 1-60,37.5818912,127.0025727
미술관,헬로우뮤지엄 어린이미술관,,    ,강남구  ,135-917,서울시 강남구 언주로 552,37.507386,127.0403328
