id,left,top,right,bottom,유휴공연장,디지털배움터,배리어프리1,배리어프리2,배리어프리3
1069,969035.230199999990873,1952987.158199999947101,970035.230199999990873,1951987.158199999947101,0,0,0,0,0
1070,969035.230199999990873,1951987.158199999947101,970035.230199999990873,1950987.158199999947101,0,0,0,0,0
1071,969035.230199999990873,1950987.158199999947101,970035.230199999990873,1949987.158199999947101,0,1,0,0,0
45,936035.230199999990873,1953987.158199999947101,937035.230199999990873,1952987.158199999947101,0,0,0,0,0
46,936035.230199999990873,1952987.158199999947101,937035.230199999990873,1951987.158199999947101,0,0,0,0,0
47,936035.230199999990873,1951987.158199999947101,937035.230199999990873,1950987.158199999947101,0,0,0,0,0
1072,969035.230199999990873,1949987.158199999947101,970035.230199999990873,1948987.158199999947101,0,0,0,0,0
1073,969035.230199999990873,1948987.158199999947101,970035.230199999990873,1947987.158199999947101,0,0,0,0,0
1074,969035.230199999990873,1947987.158199999947101,970035.230199999990873,1946987.158199999947101,0,0,0,0,0
1076,969035.230199999990873,1945987.158199999947101,970035.230199999990873,1944987.158199999947101,0,0,0,0,0
1077,969035.230199999990873,1944987.158199999947101,970035.230199999990873,1943987.158199999947101,0,0,0,0,0
1078,969035.230199999990873,1943987.158199999947101,970035.230199999990873,1942987.158199999947101,0,2,0,0,0
1079,969035.230199999990873,1942987.158199999947101,970035.230199999990873,1941987.158199999947101,0,0,0,0,0
48,936035.230199999990873,1950987.158199999947101,937035.230199999990873,1949987.158199999947101,0,0,0,0,0
49,936035.230199999990873,1949987.158199999947101,937035.230199999990873,1948987.158199999947101,0,0,0,0,0
971,966035.230199999990873,1957987.158199999947101,967035.230199999990873,1956987.158199999947101,0,0,0,0,0
972,966035.230199999990873,1956987.158199999947101,967035.230199999990873,1955987.158199999947101,0,0,0,0,0
973,966035.230199999990873,1955987.158199999947101,967035.230199999990873,1954987.158199999947101,0,0,0,0,0
974,966035.230199999990873,1954987.158199999947101,967035.230199999990873,1953987.158199999947101,0,0,0,0,0
984,966035.230199999990873,1944987.158199999947101,967035.230199999990873,1943987.158199999947101,0,0,0,0,0
985,966035.230199999990873,1943987.158199999947101,967035.230199999990873,1942987.158199999947101,0,0,0,0,0
